street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Ngũ Hành Sơn,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,180.0,1,24,25,4,14.9,1
Trần Đình Long,Hòa An,Cẩm Lệ,Đà Nẵng,177.0,1,8,5,2,13.499,1
Hoàng Diệu,Bình Hiên,Hải Châu,Đà Nẵng,128.0,1,15,15,6,18.0,1
Đa Phước 8,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,192.0,1,4,3,2,12.499,1
An Thượng,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,80.0,1,16,18,6,23.0,1
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,72.0,1,3,3,3,16.5,1
Ông Ích Khiêm,Thanh Bình,Hải Châu,Đà Nẵng,86.0,1,4,3,3,26.5,1
Võ An Ninh,Hòa Xuân,Cẩm Lệ,Đà Nẵng,93.0,1,20,20,6,12.5,1
Ngô Thì Trí,Nại Hiên Đông,Sơn Trà,Đà Nẵng,155.0,1,4,5,3,9.7,1
Núi Thành,Hải Châu 1,Hải Châu,Đà Nẵng,246.0,1,9,9,3,42.5,1
Châu Thị Vĩnh Tế,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,291.0,1,10,10,3,16.9,1
An Thượng 3,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,90.0,1,14,14,8,26.3,1
